TextID_D,Date_D,Ruler,Year,Month,Day,Dossier_D,Archive_D,Genre_D,Locus_D,Stratum_D,ExcNum_C,MusAcc_C,Mus_C,TNum,Pnum,TextID_A,TextID_C,TextNum_A,ARCHIBAB Link,CDLI Link
UR 794,1903,Abi-sare,3,11, -,Giparu (arua),Ur (unprov),Administrative - arua,,,U -,-,UM 52-30-128,T13086,P415169,UM 52-30-128,UET 5 285,UET 5 285,https://www.archibab.fr/texte/13086,https://cdli.earth/artifacts/415169
UR 1128,1903,Abi-sare,3,2, -,Ganunmah (Temple deliveries),Ur (unprov),Administrative - Delivery,,,-,-,IM 057483,T12679,P415492,IM 57483,UET 5 620,UET 5 620,https://www.archibab.fr/texte/12679,https://cdli.earth/artifacts/415492
UR 412,1903,Abi-sare,3,2, -,"Giparu (Ningal Tithe, miksu)",Ur (unprov),Administrative - Miksu tax,,,U -,-,IM 090331,T22688,P448899,IM 90331,Nisaba 19 209,Nisaba 19 209,https://www.archibab.fr/texte/22688,https://cdli.earth/artifacts/448899
UR 1245,1903,Abi-sare,3,4, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,C/26,H-J 2-3,-,-,IM 057542,T12793,P415607,IM 57542,UET 5 737,UET 5 737,https://www.archibab.fr/texte/12793,https://cdli.earth/artifacts/415607
UR 642,1903,Abi-sare,3,9, -,Church Lane 13: Ilum-nasir,Ur's Royal Cemetery (PG1932) / Church Lane 13,Legal - Sale (House),,House 30?,U 17847a,-,IM 057238,T12982,P415027,IM 57238 = U.17847A,UET 5 131,UET 5 131,https://www.archibab.fr/texte/12982,https://cdli.earth/artifacts/415027
UR 1246,1902,Abi-sare,4,1,21,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,C/26,H-J 2-3,-,-,IM 057543,T12794,P415608,IM 57543,UET 5 738,UET 5 738,https://www.archibab.fr/texte/12794,https://cdli.earth/artifacts/415608
UR 796,1902,Abi-sare,4,10, -,Giparu (arua),Ur (unprov),Administrative - arua,,,U -,-,UM 52-30-130,T13088,P415171,UM 52-30-130,UET 5 287,UET 5 287,https://www.archibab.fr/texte/13088,https://cdli.earth/artifacts/415171
UR 612,1902,Abi-sare,4,12, -,Ganunmah (orchard pledge?),Ur's Ganunmah (TTB),Legal - Land,9,,U 00400,-,IM 057224,T12125,P415004,IM 57224 = U.400,UET 5 102,UET 5 102,https://www.archibab.fr/texte/12125,https://cdli.earth/artifacts/415004
UR 795,1902,Abi-sare,4,12, -,Giparu (Ningal Tithe),Ur (unprov),Administrative - arua,,,U -,-,UM 52-30-129,T13087,P415170,UM 52-30-129,UET 5 286,UET 5 286,https://www.archibab.fr/texte/13087,https://cdli.earth/artifacts/415170
UR 1035,1902,Abi-sare,4,3, -,Giparu (Ningal Tithe),Ur (unprov),Administrative - Dilmun tax,,,-,-,IM 057439,T12589,P415401,IM 57439,UET 5 526,UET 5 526,https://www.archibab.fr/texte/12589,https://cdli.earth/artifacts/415401
UR 1386,1902,-,-,-, -,Ganunmah,Ur (unprov),Administrative,,,U -,"1953-04-11, 0272",BM 131437,T12940,P415737,"BM 131437 = 1953-04-11, 272",UET 5 878,UET 5 878,https://www.archibab.fr/texte/12940,https://cdli.earth/artifacts/415737
